recipient,allocation_wei
0x5771E6318e35aD2d823147D6540D7f4aa9f1038D,689264002939735375872
0xeE83c7cc52D7b976f87A18561282E2A26C8E327f,689264002939735375872
0x3358F2d44b258CFC3f2619eAAC28d5065506df83,689264002939735375872
0x98C216810435B081DF8E1B3739650C8AFA62768d,179208640764331163648
0xEC3631a3f1a50a6b0e2d18E7Ba10064c9E369ee3,179208640764331163648
0x343fB2a5B14c02Fc3f97aB379D68AE6E706A55aF,179208640764331163648
0x9adaaa0d669818efd0D55F4b0e295c15650295ab,179208640764331163648
0xD1C8ED16C450715F3432f653227A72C4E58c846a,179208640764331163648
0xAf3D4C211c49465ac182c330A2F9E0e4b047e7c4,179208640764331163648
0x2F47323e3551AF90531BAd127ef19191eD494438,179208640764331163648
0x6844AC9aB18553813eF4BAfddeEed4a789a0cB39,179208640764331163648
0x9dfb2e726B3832ceDdBa866B4b35a443124407e7,179208640764331163648
0xF3F5fd8217204f33fa90C484108e56Fb156C9bb7,179208640764331163648
0x7b6798fdf67eBC5b5DF2d714B5Ee6e40DD7f8447,179208640764331163648
0x93123530D0faB172F2453828c2bd4bA50fe5003B,179208640764331163648
0x92FB1f0ff2479c8f797589c5CeCa59B71b29E45D,179208640764331163648
0xae3cbEB20b0908d39c4491e01034Cc5Bd921585b,179208640764331163648
0x02b8D87836AB0c41F534dE1B995f5ee7C524eE25,179208640764331163648
0x15082DaeFC5e43DcfD1328E60A4735931Abf73F8,179208640764331163648
0x42E9a1480718fa74aAE40Be01b000b6D531fc55F,179208640764331163648
0x70eC326Cf0C8c920C90acd34bD7f2aac3E5f5d42,179208640764331163648
0xE0D2Feb394CD2c23D4084a578Ae0a2e93f9b0659,179208640764331163648
0x380bD69aD6b7E06dB0E5dA4a5250eaa943bbeF07,179208640764331163648
0xf96ec372f1782b11D76C06E8cCEC624E90B31EC1,179208640764331163648
0xE713a4B91c37be44318527bfF4Dd5Cc1700f4f6b,179208640764331163648
0x03769Fb3e6B54DFaCff15c122947d7057675a01F,179208640764331163648
0x10a8b741Fd10454FA7CFab0FD325d6B588796106,179208640764331163648
0xf7C16fDEab943370C700973f3456cC9cf36991fA,179208640764331163648
0x5784426513cDB04856E57Bf57C9151908F48050b,179208640764331163648
0x324011fE80527C2F371F5aaDE15b94511e4B2214,179208640764331163648
0xaE1a35FA05c0989a243f8fBe144d2c2ca21161ba,179208640764331163648
0xd350430379e11cF453f2ef9D576051BBb5b68dBC,179208640764331163648
0xe9657c90cF9d636D463e949F8e873933B7B99b04,179208640764331163648
0x7331917402680B6A5bEf5090620504bb9623075C,179208640764331163648
0x24e151eA70fEe0136D28b0b7e59Ac4d7C87F9E08,179208640764331163648
0x44df44411534A4dC55D50cbD4e6D8d7c1B5531F7,179208640764331163648
0x03f0D9a97d9E98E8B257d1Fa489359a0259E09B5,179208640764331163648
0x4201E69E6B560cc5c33e7E15Af0b670E4c4f5d1A,179208640764331163648
0x87d2543617c9839d048AbCF5B26d7f073B6A8826,179208640764331163648
0xE1B829bD4DfCc4f9DB2e532481E39Dd5D49b82BC,179208640764331163648
0x665bD2214C9E7c7007596969b3B2590ee57cdF60,179208640764331163648
0x6c30A33066EE7279ECDD39A72e40531994eB6C22,179208640764331163648
0x0d53AB1eDe05039F6B91B753Ddca767Cf9a2fAd9,179208640764331163648
0x42E9a1480718fa74aAE40Be01b000b6D531fc55F,179208640764331163648
0x4D62d152b10A62575DB09F03B208dB3fA9bd4b32,179208640764331163648
0x4710D7b01FbAEB19c4e2513C3296E0094d67A2E5,179208640764331163648
0xf3b314D2874780c3fb36C5381E369De1d027426F,179208640764331163648
0x051EEA227D2D8f51153918F8e611Ad97d2db69D4,179208640764331163648
0xD1C8ED16C450715F3432f653227A72C4E58c846a,179208640764331163648
0x504e6635efD02E5ff917c20d173e7a89DF79e8b0,179208640764331163648
0x5784426513cDB04856E57Bf57C9151908F48050b,179208640764331163648
0x6c86581c2BA01d1601B8E4111f90374fe96405D0,179208640764331163648
0x3aA760D90C70682B96d915a18DeBE61AE23D6EcB,179208640764331163648
