recipient,allocation_wei
0x377acD8d2CA2649987f3cF7d6F378b08E5A8fefB,784162670011148271616
0xDEAb3e16e3b461d0748380e90BaA6Eb09b1C915B,203882294202898481152
0x8E038150749b5c1F8D7445a2ecA3AEAa81Ac9Bd7,203882294202898481152
0xe20aE4aaD067c281bD5D440A57BC0d9adD37aF79,203882294202898481152
0x4E3E5CE77B8643CcECfd12ad2DDEdd9B12C0504C,203882294202898481152
0x326107587c4a162047c6891D933e37C6aEc0E7AE,203882294202898481152
