recipient,allocation_wei
0xaE5b61B1f4e9483F9a5ba33B2e6C8c4DF7BFA70c,10821444846153847799808
0xDa767310A4610eeaed0c4b78e83d13129b304af4,2813575659999999295488
0x3306567aCc8E02666bf772F25C5Ef6E1322b1aA8,2813575659999999295488
0x9eE20f2C534dAcC85225BD56251c9D0b4aA20350,2813575659999999295488
0x52d4A8D4039fA2b019f067F53B62fEe7a3ab8441,2813575659999999295488
0x28284437c8dB1e461Ca6E0286191cCc80024B34F,2813575659999999295488
0xB29bB9eBA2D0845b744b051FD6b9B857c341474C,2813575659999999295488
0x9ef3C30Ee8Ab26B4FF00205Ea66FF0B0b6571668,2813575659999999295488
0xD8E639B6a0D0b33c5A6cefD3b0d2aE209a0A50F8,2813575659999999295488
0xbAf64c7F55c7D951E93b1C7a1f6839C6F6C2120B,2813575659999999295488
0x3dccB498F72Fd4cbFfe4D8178b2c43dC80d6ab01,2813575659999999295488
0xda84cAba1d8316282320B2f0Ec331Cf5B04B5167,2813575659999999295488
0xe7AF271A2DC657e2363b8F3D8A9313FDDe9B7136,2813575659999999295488
0xCA7951BC5D390a6be13FDD8F40c75df8aC503fd9,2813575659999999295488
0xcD9F7AED911B37f5216543a8E0f55b78a010b5bD,2813575659999999295488
0xF217402efA536aC01B75bAc59BE0a393c808a932,2813575659999999295488
0x6A9E0301045312E266599FB99361e45A38976c90,2813575659999999295488
0x929f4507d1eA0A705c71e67b03519F29b73F1e5f,2813575659999999295488
0x6c323FC384e998c5c6Cb4d553B9D6C79d8236600,2813575659999999295488
0x4aA06cDE891Bf049F2C59927400E48098645B7dF,2813575659999999295488
0x135835fEE35d4D1b982b611628C90A9447Ab5994,2813575659999999295488
0x52D298B8D16374f5cdfa58B0eDbC45E83fd68756,2813575659999999295488
0xD1A657F2DCbFbe32d5519b442e1B391fEACfa552,2813575659999999295488
0x8e44a1D246821314CB688f715719Eb2f8D1b5A26,2813575659999999295488
0xE6342F9c4e515e0F0403D55AdFd1aEcF9B45c6C8,2813575659999999295488
0x78A888349e798Da0B75267b2287DF6f626cBF895,2813575659999999295488
0x276199cC8ef1cbf7C7Dc76dDC76cFa6029C1102E,2813575659999999295488
0x6f3De15742042F4A31D2f22b5CEcF0D0D30093FB,2813575659999999295488
0xE6D6B0942854491a2be1bDac16f6178A841b31c4,2813575659999999295488
0xB21A54EffdAc3af44f558EaD72da3c4bb608B82F,2813575659999999295488
0x05E284C69Ce245A993C822cb4DCfEc66eda05f72,2813575659999999295488
0x7EC089FA35BF500C69769Fe438817a87c6c7a525,2813575659999999295488
0x758d9be611cC93e5f5e872200E052C678bDb710E,2813575659999999295488
0x5176e440dE36570cc5a377a9621e4988A51cdbcb,2813575659999999295488
0xe927160c7f7Fb56683f6DE34C02dE725712C20eF,2813575659999999295488
0x75A09da2EC3e09EEC842Ff8dA9BC12EdfC7Da219,2813575659999999295488
0x6c323FC384e998c5c6Cb4d553B9D6C79d8236600,2813575659999999295488
0xA544E57184428747F8085b83bBFaa6F7bB1e175a,2813575659999999295488
0x586a59A97712b20eb6486dBe63A1C05b84e644FA,2813575659999999295488
0xd6fA3e825cd93C7B8ec0d1b5E96a6fa5B27Bf41B,2813575659999999295488
0x045e2D2D48305E195A76Eb9901ddd2E2Be0557e2,2813575659999999295488
0x9Add7017a95b4B2aa3A635e234FA21BcfF28A937,2813575659999999295488
0x91D7848c7a70F1a9369651C1A9eAbD00f193bf16,2813575659999999295488
0x6E6ac8b10ebB9f76a8392D9e57437d69B025a258,2813575659999999295488
0x607990aF0aE33693e7b49cA1a89cd2e18bA07E73,2813575659999999295488
0x56ee5E1627Dec0d52dfE5aCF5af54Af41c466D56,2813575659999999295488
0x05c6df4853559BF43Fb49B949764848fdB91A0E0,2813575659999999295488
0x78539dEea4483C7f2048EA2ea780C709bAF0809A,2813575659999999295488
0x776c1c58375611bAf60272E53E8BeB5Cf596D7c2,2813575659999999295488
0xf7C16fDEab943370C700973f3456cC9cf36991fA,2813575659999999295488
0xa98Ca0496d5e8F5E03F34634aF79690A1A94066F,2813575659999999295488
0x35b4862D7D33737451B9c51bE2ABfDD5D459DE66,2813575659999999295488
0xDBd2E7bfd3d23FAB6472Cc9F48Aaa89A8295fef1,2813575659999999295488
0x6Cc7192933c98D58c8D696Fb2F746fE767c964AB,2813575659999999295488
0x8Fa32174b2e36b94FF0e70fA6d16bB7c1ab9C79C,2813575659999999295488
0xc01f1B44c6DcD5Ff9380245ceb6404410e68c7f1,2813575659999999295488
0x80AA76faB13FDf472602F0597A31c131aF865390,2813575659999999295488
0x085c9A2D9b543EDe74348B69C00B16B61c83E019,2813575659999999295488
0x13B5A9De0b2D851C823cC3BEC5058FD1ac1f9A43,2813575659999999295488
0xf3507f06AC121397E75306614C5a1aC0656Ea3BD,2813575659999999295488
0xD1A657F2DCbFbe32d5519b442e1B391fEACfa552,2813575659999999295488
0xa157Ae21F2B705A70557Ab5ded4b606e3B20D184,2813575659999999295488
0xf779b453798a3Ad12a1a38ac8BB7E1a8911B1c3b,2813575659999999295488
0xeFEeeAA42348C179CF8923cF7c71af6933F5cF9C,2813575659999999295488
0xcA8a76dce83fF4320D0fCa9120Eeb0808655c9A2,2813575659999999295488
0x92946d0F428488F9Ac1D6260A4Ca2656022f1253,2813575659999999295488
0x7A56f1f73Af0D37aEdD6866790B93a124b11fc3C,2813575659999999295488
0xD426eff1D2580CDD29B9Cf020ff10805b071F014,2813575659999999295488
