recipient,allocation_wei
0x00729212598ec0b0ea71cB4904059B77694d4405,421067892846453184
0xDD1c7A1FA78d3B9B62eFC282Bfa821967A626A14,421067892846453184
0x4d17e14895B74B72DbfFA6EA87e9d51F947e6E6E,109477652140077792
0x6e85b13AB88bcAe8901A00F7bD6679591997Ad6D,109477652140077792
0x3A0617efFdB2235024D856a12C14d8eF1765C165,109477652140077792
0x14b51dbaEb36BaB0465FB45Cfca569EB41802735,109477652140077792
0x7b6798fdf67eBC5b5DF2d714B5Ee6e40DD7f8447,109477652140077792
0x361f9F5b307A351A73DA2792aaBCe45E987F0fdC,109477652140077792
0xD7520FF5673C2E268fF4E9986C69475CB639bE3F,109477652140077792
0x238F69501269dbe47B556b4F9e009b8170a545D7,109477652140077792
0x4e60e7B3641E52DFf70C8D5b7b395e869Efd0F6F,109477652140077792
0xd8f09a9b6bAC0B86278Aac437C647255c2815AFB,109477652140077792
0x742105c5De6cc9b991B8901AD8eC6bB6936FF064,109477652140077792
0x7413EcA17eBbBbCf0634E23D27aB7614d1144AAB,109477652140077792
0x69d558c002c74c0Cf69D3e2F6f3605DCeD0c32b5,109477652140077792
0x1a3C473F656d1Acd1CB921a66D4Bc731d772913E,109477652140077792
0xBeE58Bfe41AD1159BD0227D69Ab588AD28DF21cf,109477652140077792
0xbb516784a9fc98c59e32c753c462244a44787559,109477652140077792
0xC3E0fD877195CB1B9CD8d20244206A500d9E953F,109477652140077792
0x98F76cB58c12487C75D2d11f7fC14f5F3f6aedED,109477652140077792
0x21b669F5074245CA9Fa87cDD5Bd4e68E73ae6859,109477652140077792
0x87c3775d302b5C11f2aCBBbf8266c67EBe93A6A3,109477652140077792
0x5c7635f71e571933d2d60e29dF0403F2dd541697,109477652140077792
0xFE28FDE29d5020F3d47fc425c876b8774c39Aa23,109477652140077792
0xa8025C9670cb5994Aa3d2DbC7D79ab0547abbc09,109477652140077792
0x8DE91FDa337c78C3BA408afA88a706F539f954a0,109477652140077792
0xF59EA3ddAafd0e618EE7BfE0c0d64f3d3c10A37D,109477652140077792
0xEeA51b791E76F5808CD2E1F82b77b58E6Ab421A7,109477652140077792
0xCa38E418975eee5D82B622E19096088CA6d95B68,109477652140077792
0xB110825a2C88059BdBFE761730084D81cC2ddb01,109477652140077792
0x7eADF8495FAe679c117F23f9Dd3f9795Cad73ffF,109477652140077792
0xC5e11c0427c3D70752A91B382699Daf2F436f236,109477652140077792
0x4F9C0b07a811650A844f11F608b6acaF69Ab9a0f,109477652140077792
0xB13188412268eb43E58b291B2674621d8011CB6B,109477652140077792
0xBce0295f7ED6Fc8E605CF4c8a1014563a4A53Ac1,109477652140077792
0xc0F6364689a62388DA5e2d1Da1cA8a4B5E55C3a1,109477652140077792
0xC85C19d2513b966840F40EF31CcfE76229761DBB,109477652140077792
0xEf73162A1AC7582D3c13719abA36b4AeAAa5BcBa,109477652140077792
0x42c058B5ff0bdD360d187888ff7094a2B057E59b,109477652140077792
0x13c96d47cb9d7c73e6b1b93D70e3D15e117756BE,109477652140077792
0xEC3c8F8582AD5CA88e072F6c8cB2FE1BaAeDA4D0,109477652140077792
0xeaf71B549Bf7d897C7110e91A0d97D9a6B04733F,109477652140077792
0x0d7Ac1cfaC50e060976e0bdbC8db5aF7448b6F89,109477652140077792
0xf8A88D204111b43d88D2B55d1e9534E0b6fa3173,109477652140077792
0x7e474209779eFEC886FDB7cbE4d207412F400960,109477652140077792
0xef8c53cd3f1857fd07a5fbb5f43e36cdb7e1f24a,109477652140077792
0xFEe673856009A175061667A1290Cea31cc727942,109477652140077792
0xC4c8DFC5ed88755716e1b290d89d3e1419EEA79e,109477652140077792
0x738514D20Ce5b627224567B1181CEDcF6CBde697,109477652140077792
0x9a73Bd52E6a3B1DC1496DEf8B007716341Cf4b5c,109477652140077792
0x5feb55564190a8163c7eea5850fd59b750d2d1b9,109477652140077792
0x27CbCf9D3bf9e1c2Ec9cA463eAa985eee02E1402,109477652140077792
0x7e2C0805E82477330e8C78488870d78BB661549e,109477652140077792
0x06dbBD0eBf320047a5890Da4971edc27601353C3,109477652140077792
0xDBd2E7bfd3d23FAB6472Cc9F48Aaa89A8295fef1,109477652140077792
0x9030D4A40609aC1Dd7528b42c5f1694f0041B22C,109477652140077792
0xE8A8C59eB2ae45EBD991fCfCf6afdC2Af573d09e,109477652140077792
0xA6c9925A736bA5e38D41747d5e57CFa8c2CF581A,109477652140077792
0x3234dF5BfC256e8EC061C59cd1Fd0ba546AA87Bc,109477652140077792
0xa300760f4D929ed5e718CEd8711Eea43dbD6442e,109477652140077792
0x7A6ef020F96a10e01253c28D648DC3B4691d16cf,109477652140077792
0x13c96d47cb9d7c73e6b1b93D70e3D15e117756BE,109477652140077792
0x5103A080195C6E982462bc2a36c24dCfdBC3A40b,109477652140077792
0x2c472e5546cEe18CF18e104e09987c3D5b176EE7,109477652140077792
0xbab8bEAaab74c84dBECB12a699c0e7500d455f0a,109477652140077792
0xEF44fd8A034c1d31dAbc18e8df9077c2f0b3Aac3,109477652140077792
0xaeBA512F46B8eF79409c6f84e1f31541Af878Dae,109477652140077792
0xDBA52e73dA0D0c8D8D6beD465Ca0515E62FFcEA7,109477652140077792
0xB1CC37A8A5fdf2d1F9AceCDb8495f06E5544875B,109477652140077792
0x1e7Bff98a4BefA4cBa62D688BB70695D3BDfBeA7,109477652140077792
0x8350dA4A8F444286c63c02E099675041A4e398b8,109477652140077792
0x62eB8347Cc57a4Bd27344C0f9C86cE444Ff9BF5e,109477652140077792
0xf3DB3E70E671562f49171AC6eBF7118326608B68,109477652140077792
0xBD0fB0B2029943B9A2d4de36a85048441bb8c235,109477652140077792
0xf6Bdf944640B9AfcDc3d925a7Db528Dd6A82969a,109477652140077792
0x5D0C6A0100B656a9bb84Fe158fDEb6d3D4352cE4,109477652140077792
0xFEe673856009A175061667A1290Cea31cc727942,109477652140077792
0xa98Ca0496d5e8F5E03F34634aF79690A1A94066F,109477652140077792
0x7A6ef020F96a10e01253c28D648DC3B4691d16cf,109477652140077792
0x86E46C4D52113ec7Cd46b5Fc07021C7c7f1e1edD,109477652140077792
0x2Ab40104F0F85ebD2753209E2936cb5c0A651112,109477652140077792
0x099F8d035140864b86124Fd839786BcB234a9ae7,109477652140077792
0x8Edaa552e12d1aB8E735eb321256A6623553bBa7,109477652140077792
0x71854e7F23f88FD1B12d0434638Af462ed989b86,109477652140077792
0x364864046d215cD0F32CDF9Acff0f9C58b5355B0,109477652140077792
0x1a3C473F656d1Acd1CB921a66D4Bc731d772913E,109477652140077792
0xdF159c2eC245E919D59Bc08D096E916dCd39B61b,109477652140077792
0x1ea4fA04FfF0edc45464cE999A3a9B67882156F9,109477652140077792
0x5feb55564190a8163c7eea5850fd59b750d2d1b9,109477652140077792
0x0127B441a5EA2e6F2670Bd2eee1D3EDc55e78B36,109477652140077792
0x47d29dAC40Dff54e512Cb916d77C932E1968ea6a,109477652140077792
0x86c9b1d913587C45F0A4D8C9e3BAb74b246E8244,109477652140077792
0x1a5de842A7c2600FA9f3b34138c36982174f1532,109477652140077792
0x16e9eeE8450E6f630550642B49d4a78E97d8FA06,109477652140077792
0x26e38296736BfAc2a365C2CF61f1DED6f4caFFC5,109477652140077792
0x6a3187954d41A35173b22E411Af5405b9c33a305,109477652140077792
0x5386A15C63af7Acf89933dA4aE254C527cc1B085,109477652140077792
0xb16B05525921fA7351E1fbE22F56Be68df76EDFD,109477652140077792
0xb645C5AC92b0b9C3897AAf8cCE02e05672CC5AA8,109477652140077792
0x0F1500f6cd17d1d836Aff4a50eF6fc1d805586ba,109477652140077792
