recipient,allocation_wei
0x67D8C8b467081De46241EC17b7e3b9f64c4147cB,3173444236408752439296
0x35b7F8074d6DA1f3F54E5e8e1b7b4d19CDcF09EF,3173444236408752439296
0x43b1B21837aC55EBa890eFb0E60A11c55b6FA8D9,3173444236408752439296
0x0BaFa740df689bD9C82B8fA170B895d14F0FA7F9,3173444236408752439296
0x10E59EE639436782951327eA09D19C0A779765cd,3173444236408752439296
0x6787B7474Ec57B3F185687bbBC78d384F0394345,3173444236408752439296
0x2c129701f62597d0dB1Ce4134429dc4440A465D3,3173444236408752439296
0xd6F80463f4C98021Db98247c3CeC0B6E018c5803,825095501466275545088
0x25409f61DfE0F0070c9Fec993be2957e7d67242d,825095501466275545088
0x0f7989e0B9d6210E67CaAFC40148aA56A1270915,825095501466275545088
0xccd41EDd9D3151529778E2e324c06A6B80257A53,825095501466275545088
0xa7148Fee3FC24c6230d6b6933BCEa6AdD11b50C6,825095501466275545088
0xC546AcF8CED1FF890Dc6E6d092E7f3DAD6b3dE94,825095501466275545088
0x6844AC9aB18553813eF4BAfddeEed4a789a0cB39,825095501466275545088
0x83A707511F6867AC1Ef0a24ef4de9C322b223382,825095501466275545088
0xda87D5072D15e82B8c2BcB95D718E2aad27d2037,825095501466275545088
0x4643Bc38D3b833888D1BB16815a63f55461CC4f1,825095501466275545088
0x5Ff4B92eAf5Ea5AeDa5D5fb14FcC8E74268Da3dD,825095501466275545088
0x4E3E5CE77B8643CcECfd12ad2DDEdd9B12C0504C,825095501466275545088
0xD7520FF5673C2E268fF4E9986C69475CB639bE3F,825095501466275545088
0x176c0d8149B868602215aDFaf5c36A0D46686C64,825095501466275545088
0x15E22e24fF980878AA9467B957E2BD4ef49a6612,825095501466275545088
0x9B50cE105251DC0683e8d6EdF57bE88AB36FF9B8,825095501466275545088
0xBAF27a6b1ec664Ea2CB85E83fE54Ee00817F982E,825095501466275545088
0x4C57ACcfc7cdB564Fe2E3a1CA1700f245736cE58,825095501466275545088
0xef6B3B0aD767ba1D7914aBE40F28F00A86602486,825095501466275545088
0x3306567aCc8E02666bf772F25C5Ef6E1322b1aA8,825095501466275545088
0x1338869368F59Ff1069834f7D57Fe716BF061cB6,825095501466275545088
0x98f3a7850d5C3eC814733569469e491040519d52,825095501466275545088
