destination,minTotalPayments,maxTotalPayments,,,,,,,
0xe4cd56f91bc79cc610aefb1be92b07bb5b6f2e30,34020.51386,68041.02772,,,,,,,
0x2be9c16e99be3ca77af5a0133a11e129d7b176ce,34279.28594,68558.57188,,,,,,,
0xa25207bb8f8ec2423e2ddf2686a0cd2048352f3e,34338.56857,68677.13714,,,,,,,
0xa7169a3f91731b70ec1b1339bb1c694d1eccea73,35675.29632,71350.59264,,,,,,,
0x012cae16d4c2c4ea8d1dabaa193f0ac5a5f33c47,41661.18866,83322.37733,,,,,,,
0x288fe43139741f91a8cbb6f4add83811c794851b,47770.50913,95541.01826,,,,,,,
0xe18c81d3129ef619d1288d3b967fe146983a8e55,51052.61031,102105.2206,,,,,,,
0xe1e9921e56e2bec1788fc991b73fddc5d1932947,51052.61031,102105.2206,,,,,,,
0x6277409c94758265950d5e9657f14b3562d088fc,51052.61031,102105.2206,,,,,,,
0x944b5b58a1fc1d092eca89c73dff7efd8fd4e139,52178.2233,104356.4466,,,,,,,
0xf89e9f61d4ecb25ff5c62da2b1c5a3f8af3af094,69066.34083,138132.6817,,,,,,,
0x76ac38f789645d2bf08274cbafcf82174781fc48,70276.74629,140553.4926,,,,,,,
0x8cdc4ff4da3961e551931c1f5f31bc04ae8e8464,71418.93394,142837.8679,,,,,,,
0x68aaa618d6b7f5c9363760ac473d91056fc7ac01,75057.4537,150114.9074,,,,,,,
0x5be456902da8be506782150e7a8ffea573f4d8a9,77613.1147,155226.2294,,,,,,,
0x2c39b8c5b9d31299449474a4d0bcd8f9a32751e4,82506.78239,165013.5648,,,,,,,
0x342996d8eac41fb5ea4ab781863ea66c230c39ea,84101.00866,168202.0173,,,,,,,
0xc72362deb3572d3b334fda7a8b2f0188bf27c6a1,86836.91342,173673.8268,,,,,,,
0x28de46689b899af843ec549199ad70a75ad4d960,90595.60857,181191.2171,,,,,,,
0x3c908edbf44e9d29f596777c7b3f4bbc8114a4f7,96957.74505,193915.4901,,,,,,,
0xa13bb257b3fc3f476ff2eaf28726363e2205a02e,101612.2917,203224.5835,,,,,,,
0x592c75cdff65a72245c4419e42f89c3fb833cc41,108856.0399,217712.0799,,,,,,,
0xbf0f24fd34bc76cd6d8eb37cc99d4477ed3a98fb,112768.2089,225536.4177,,,,,,,
0x745d3549d0a7ae99d4ff947332f8b079d16307d7,120396.9635,240793.9271,,,,,,,
0xfa1ea12178768784c276d7b6ce30cdb138fc42dd,121682.0652,243364.1305,,,,,,,
0xed6f4cd9288fb42f9e119f663b810be25e857d0b,124151.7794,248303.5589,,,,,,,
0x179ea598a88b255432406f4fcbc43d54813c4c47,126382.2369,252764.4739,,,,,,,
0x632136f7f3b649a0ccee870711af4a80fc377e88,130897.4946,261794.9891,,,,,,,
0x3a1e9e54f4d708e3acbdb2cfaa3ec94f34b9b02e,137148.1942,274296.3884,,,,,,,
0xc4a4e1665adfea108424b3a6f2bc9897ea62b390,150221.5155,300443.0311,,,,,,,
0xe3b2f16a52671af6a5d498d3cfdcccdc2ad0d58f,159771.977,319543.9541,,,,,,,
0xc6a41abbfb94bfef93b8726f0657bf901426d8e0,180365.8802,360731.7605,,,,,,,
0x14b1de0e7e1106e629c3abe3f09f3373c428d123,182571.3381,365142.6763,,,,,,,
0x755757e14e38ae67b146d9f1cf84a58b8654ef63,193563.8668,387127.7336,,,,,,,
0xb72dbe75c73adf90dc9e2c3f50f10d1af10e4c12,270583.8858,541167.7715,,,,,,,
0x4ea4a38e351ae6e4d29f19a173986a178144132f,288586.9179,577173.8359,,,,,,,
0x0985fbcb517b2889eb2340a3c2747e133a825cd2,342066.9578,684133.9156,,,,,,,
